weight,ablation,rho,K,cand_set,z_ip,z_lp,gamma
pop,energy,0.5,1,511,471132.81180450064,471132.81180450105,8.648381436938575e-16
pop,energy,0.5,5,511,1333546.0582310136,1333546.0582310127,-6.983805087699064e-16
pop,energy,0.5,10,511,1677856.6526199249,1680416.8908189621,0.0015258980527564907
pop,energy,0.5,20,511,1804972.100726773,1805018.308160517,2.560008197648184e-05
pop,energy,0.5,30,511,1834912.9792778408,1835290.5991650103,0.00020579716391676996
pop,energy,0.5,50,511,1844548.5429751077,1844548.5429751105,1.5147162889733395e-15
pop,energy,0.5,75,511,1844548.5429751077,1844548.5429751105,1.5147162889733395e-15
pop,energy,0.5,100,511,1844548.5429751077,1844548.5429751105,1.5147162889733395e-15
pop,energy,0.5,150,511,1844548.5429751077,1844548.5429751105,1.5147162889733395e-15
pop,energy,0.5,300,511,1844548.5429751077,1844548.5429751105,1.5147162889733395e-15
pop,energy,0.5,605,511,1844548.5429751077,1844548.5429751105,1.5147162889733395e-15
pop,energy,0.8,1,511,7543.299674098422,7543.299674098423,1.2056987539496518e-16
pop,energy,0.8,5,511,33752.945542996385,33752.94554299638,-2.155651157886326e-16
pop,energy,0.8,10,511,64709.342004645536,64709.342004645565,4.497624230925469e-16
pop,energy,0.8,20,511,119899.48359329045,119899.48359329048,2.4273524442737755e-16
pop,energy,0.8,30,511,165850.87565413138,165850.87565413155,1.0528915331418833e-15
pop,energy,0.8,50,511,237582.2958732037,237582.2958732036,-3.6749999005312565e-16
pop,energy,0.8,75,511,298116.16060191963,298116.1606019195,-3.9050322395097015e-16
pop,energy,0.8,100,511,335157.0115242904,335157.0115242906,5.210184383319889e-16
pop,energy,0.8,150,511,376309.7530860314,376329.49882801005,5.247204415167709e-05
pop,energy,0.8,300,511,403205.5887788215,403205.5887788217,4.330867120896771e-16
pop,energy,0.8,605,511,403225.25856789784,403225.258567898,4.330655856247607e-16
pop,High,0.0,1,511,1361759.441617773,1361759.441617773,0.0
pop,High,0.0,5,511,1795902.7385479822,1796442.4062725566,0.0003004994162494462
pop,High,0.0,10,511,1835875.671869621,1835875.671869623,1.141403976855815e-15
pop,High,0.0,20,511,1844122.5533932506,1844122.5533932531,1.388810670679117e-15
pop,High,0.0,30,511,1844268.226488111,1844268.2264881139,1.5149465157607575e-15
